dates,satname,nzd0157-0000,nzd0157-0001,nzd0157-0002,nzd0157-0003,nzd0157-0004,nzd0157-0005,nzd0157-0006,nzd0157-0007,nzd0157-0008,nzd0157-0009,nzd0157-0010,nzd0157-0011,nzd0157-0012,nzd0157-0013,nzd0157-0014
2014-08-20 22:05:42.763000,L8,325.08,300.99,306.40,311.77,303.77,297.68,306.57,299.09,306.45,294.83,305.08,302.64,261.32,240.80,282.47
2014-08-20 22:06:06.726000,L8,322.73,297.60,304.48,310.16,301.53,295.34,265.30,296.23,304.80,284.35,301.36,300.77,240.69,237.65,279.01
2014-11-08 22:05:52.173000,L8,324.39,305.39,310.12,313.48,303.93,305.83,309.26,304.43,310.69,300.56,307.59,304.71,272.18,250.29,280.32
2014-11-08 22:06:16.124000,L8,291.64,299.83,303.01,309.35,299.33,299.87,268.97,297.87,305.67,293.93,299.73,300.78,,240.32,273.76
2015-02-28 22:05:24.487000,L8,344.81,340.53,324.69,330.38,324.18,317.77,321.26,319.42,324.07,320.23,325.96,320.53,305.24,330.54,319.02
2015-02-28 22:05:48.437000,L8,336.43,326.65,320.67,323.40,317.61,313.49,318.47,314.05,318.69,315.20,322.42,314.67,298.43,306.70,310.03
2015-03-16 22:05:13.611000,L8,282.69,260.94,297.99,233.26,182.52,223.44,263.39,284.79,295.63,279.27,266.72,295.61,,,241.78
2015-04-01 22:05:01.841000,L8,323.53,302.06,273.55,269.68,302.27,300.58,308.03,301.49,306.79,296.33,300.49,299.57,,,
2015-04-01 22:05:25.791000,L8,323.93,302.51,272.28,268.77,302.67,300.49,308.22,301.76,307.02,296.53,300.90,299.85,,,
2015-05-19 22:04:40.718000,L8,311.91,300.72,302.90,307.06,301.08,294.71,304.88,291.93,302.50,292.90,298.10,298.30,,,
2015-05-19 22:05:04.672000,L8,323.84,304.30,306.51,310.65,303.46,298.85,308.92,299.65,305.34,296.73,304.75,301.48,265.78,239.75,
2015-06-20 22:04:57.007000,L8,287.26,297.16,272.46,265.72,245.96,213.11,289.42,288.00,300.17,265.11,261.00,,,,
2015-06-20 22:05:20.970000,L8,330.44,316.03,315.06,319.04,309.19,307.75,316.65,305.56,311.46,305.58,310.25,303.72,233.16,,
2015-07-22 22:05:13.606000,L8,325.48,302.88,310.73,312.45,305.07,301.86,309.93,302.89,305.64,300.61,309.22,303.15,264.89,,
2015-07-22 22:05:37.569000,L8,323.23,298.57,277.02,261.70,248.77,247.88,308.45,299.97,303.23,296.38,302.78,300.74,229.61,,
2015-08-07 22:05:16.273000,L8,311.55,303.67,304.60,309.65,302.69,301.01,306.47,298.35,304.00,295.59,305.43,301.09,240.10,,
2015-08-07 22:05:40.232000,L8,307.67,302.82,304.18,309.45,302.41,300.99,306.09,296.64,303.81,294.70,304.65,300.79,235.64,,
2015-08-23 22:05:24.610000,L8,316.45,301.78,307.57,308.77,301.73,300.59,268.53,300.48,305.63,299.02,309.18,301.72,242.67,250.34,289.16
2015-08-23 22:05:48.569000,L8,314.10,300.43,307.03,308.18,301.03,299.81,267.46,299.38,304.82,297.65,308.35,300.70,239.51,248.49,249.58
2015-10-26 22:05:43.801000,L8,267.57,296.76,307.96,310.41,304.07,299.89,244.57,236.42,274.70,270.56,278.13,240.56,,,
2015-10-26 22:06:07.756000,L8,266.26,295.83,306.76,309.41,302.89,298.21,219.84,234.51,273.40,268.71,276.73,295.32,,,
2016-03-02 22:05:55.525000,L8,,,,,,,,,206.45,262.05,203.59,,,,
2016-04-19 22:05:11.034000,L8,283.18,,,,,,,,,,,,,,
2016-04-19 22:05:34.992000,L8,283.53,,,,,,,,,,,,,,
2016-05-21 22:05:14.459000,L8,324.51,304.27,307.61,312.23,303.24,302.20,274.05,301.75,307.31,300.26,308.02,305.11,266.91,245.45,
2016-05-21 22:05:38.418000,L8,310.25,301.47,305.34,309.72,300.72,299.84,269.47,298.89,305.28,295.91,271.36,302.33,241.04,237.23,
2016-07-24 22:06:01.938000,L8,322.76,299.06,305.72,308.45,300.54,295.08,303.26,297.92,302.42,289.09,270.36,299.99,237.21,,
2016-09-10 22:05:51.530000,L8,320.35,301.40,308.22,308.95,301.78,301.01,306.37,301.95,306.61,299.63,306.07,304.28,264.82,248.23,282.34
2016-09-10 22:06:15.488000,L8,334.22,326.38,320.67,321.39,319.23,311.68,317.25,318.21,318.25,315.37,320.50,316.78,301.21,274.84,309.80
2016-10-12 22:05:57.250000,L8,274.85,296.96,284.38,266.04,298.52,297.99,295.19,298.46,303.32,296.23,280.21,300.61,238.01,240.19,275.25
2016-10-12 22:06:21.213000,L8,308.72,297.82,305.01,304.65,299.05,298.58,296.96,298.86,303.84,297.07,287.93,301.20,240.30,242.57,278.09
2016-10-28 22:05:59.220000,L8,,,,,296.82,238.91,198.04,,,,,,,,239.54
2016-10-28 22:06:23.178000,L8,,,,226.57,299.25,254.19,212.72,,,,,,,,
2016-12-15 22:06:18.115000,L8,285.56,249.47,209.89,309.20,298.96,301.33,177.57,299.88,304.80,290.94,,,,,
2017-01-16 22:05:47.126000,L8,293.27,297.41,213.25,311.13,270.71,301.37,271.56,300.28,237.96,233.66,268.38,306.81,,,
2017-01-16 22:06:11.085000,L8,290.62,294.98,299.55,309.50,302.34,298.41,269.99,298.53,304.51,293.86,262.04,304.61,,,
2017-02-01 22:05:40.248000,L8,,,301.66,309.62,300.52,300.32,,,304.68,242.22,252.39,,,,
2017-03-05 22:05:27.019000,L8,286.85,296.49,285.26,266.42,300.27,296.72,299.21,298.78,304.24,296.71,267.63,302.51,,,284.00
2017-03-05 22:05:50.977000,L8,328.94,309.81,312.15,317.20,307.59,306.37,314.18,309.57,313.53,310.73,313.92,312.68,283.79,256.08,294.23
2017-03-21 22:05:16.875000,L8,,176.52,273.37,465.93,523.34,441.62,420.16,456.96,520.04,315.48,319.65,316.85,288.89,266.62,291.50
2017-04-06 22:05:10.007000,L8,287.02,251.72,280.57,309.66,301.78,301.01,303.29,299.04,306.15,296.74,268.77,304.37,235.07,241.02,278.72
2017-04-06 22:05:33.966000,L8,287.74,301.62,306.84,309.89,301.99,301.07,287.29,299.31,306.26,296.85,269.12,304.61,237.18,241.38,278.83
2017-05-08 22:04:59.325000,L8,314.15,300.66,307.25,308.19,301.11,299.77,272.91,299.93,305.43,298.72,296.86,304.25,260.32,248.66,
2017-05-08 22:05:23.284000,L8,319.81,301.11,308.03,309.11,301.64,300.65,272.89,300.51,306.36,299.32,271.16,305.23,257.44,246.33,
2017-05-24 22:05:10.453000,L8,322.69,301.77,306.27,309.17,301.22,298.99,273.00,299.94,305.63,297.04,298.43,304.09,256.31,248.55,
2017-05-24 22:05:34.407000,L8,322.70,301.64,276.33,263.88,204.99,299.06,272.04,299.86,305.40,296.47,266.39,304.06,244.93,246.45,
2017-06-25 22:05:23.687000,L8,327.25,308.76,310.03,315.43,305.75,303.99,311.17,303.96,308.76,302.11,307.35,297.62,269.09,248.85,
2017-06-25 22:05:47.638000,L8,322.40,304.83,306.41,311.63,303.15,301.50,272.69,299.95,306.07,297.03,276.22,288.41,239.50,,
2017-07-11 22:05:26.464000,L8,289.15,301.53,304.95,270.98,221.21,297.86,266.44,296.50,304.01,292.48,268.57,,,,
2017-07-11 22:05:50.423000,L8,324.26,306.18,309.37,312.66,304.52,302.58,271.24,301.67,306.92,297.23,273.77,265.31,242.61,,
2017-08-28 22:05:44.051000,L8,,294.07,300.65,305.88,298.47,291.85,265.96,287.52,297.92,284.24,223.16,,,,
2017-08-28 22:06:08.010000,L8,285.82,299.09,303.64,308.66,301.43,298.34,270.15,297.01,303.94,295.38,294.50,259.04,238.25,237.39,278.55
2017-12-02 22:05:46.939000,L8,287.91,298.82,296.62,310.06,301.52,299.73,267.74,297.61,304.94,296.65,268.97,,,,283.73
2017-12-02 22:06:10.894000,L8,344.81,320.48,320.95,322.32,317.15,313.36,319.69,314.79,319.57,315.62,321.34,314.38,304.56,265.91,296.60
2017-12-18 22:05:49.621000,L8,291.19,251.72,233.92,283.70,269.94,262.60,240.73,299.18,306.29,294.72,217.44,,,,281.58
2018-01-19 22:05:38.704000,L8,296.10,298.16,232.44,312.89,304.66,303.45,274.78,301.22,308.05,297.12,270.07,,,,280.26
2018-01-19 22:06:02.658000,L8,286.96,221.60,215.81,309.34,301.25,297.72,267.79,290.75,305.00,288.26,214.58,,,,257.41
2018-03-08 22:05:15.942000,L8,294.74,300.33,305.50,310.31,301.17,301.48,267.51,299.92,306.67,296.99,270.22,257.76,224.34,240.90,282.79
